ClientID,ClientName,ClientIndustry,ClientSizeCategory,ClientCity,ClientState,ClientIsActive
68,Golden Gate Logistics,Healthcare,Medium,Chattanooga,TN,1
69,NorthBridge Technologies,Healthcare,Small,Louisville,GA,1
70,Liberty Credit Union,Community Services,Medium,Birmingham,AL,1
71,Evergreen Energy Systems,Healthcare,Medium,Chattanooga,TN,0
72,MetroLink Transportation,Community Services,Medium,Atlanta,GA,1
73,BlueRiver Financial Group,Healthcare,Large,Louisville,AL,0
74,Golden Gate Logistics,Arts,Large,Chattanooga,KY,1
75,Summit Health Partners,Community Services,Small,Atlanta,GA,1
76,BrightPath Consulting,Education,Small,Birmingham,AL,1
77,NorthBridge Technologies,Faith-Based,Large,Knoxville,AL,1
78,BrightPath Consulting,Nonprofit,Medium,Birmingham,GA,1
79,HarborPoint Insurance,Healthcare,Small,Chattanooga,KY,1
80,Apex Data Solutions,Startup,Large,Louisville,GA,0
81,SilverLine Pharmaceuticals,Healthcare,Large,Memphis,AL,1
82,Pinnacle Retail Holdings,Startup,Large,Chattanooga,TN,1
83,Summit Health Partners,Faith-Based,Medium,Memphis,TN,1
84,Frontier Analytics Corporation,Faith-Based,Large,Atlanta,GA,1
85,Redwood Media Group,Faith-Based,Large,Knoxville,AL,1
86,Skyward Cloud Innovations,Startup,Large,Nashville,TN,1
87,SilverLine Pharmaceuticals,Healthcare,Large,Birmingham,AL,1
88,Summit Health Partners,Faith-Based,Small,Knoxville,GA,1
89,Atlas Security Services,Arts,Small,Chattanooga,TN,1
90,IronPeak Manufacturing,Community Services,Large,Memphis,AL,1
91,Summit Health Partners,Startup,Medium,Birmingham,TN,1
92,IronPeak Manufacturing,Startup,Small,Memphis,GA,1
93,IronPeak Manufacturing,Healthcare,Large,Louisville,AL,1
94,Skyward Cloud Innovations,Startup,Small,Memphis,TN,0
95,HarborPoint Insurance,Startup,Small,Louisville,GA,1
96,Atlas Security Services,Faith-Based,Medium,Atlanta,TN,1
97,Crescent Cyber Defense,Healthcare,Large,Birmingham,TN,1
98,Atlas Security Services,Faith-Based,Large,Birmingham,KY,1
99,Evergreen Energy Systems,Community Services,Medium,Nashville,KY,1
100,BlueRiver Financial Group,Community Services,Medium,Chattanooga,GA,1
101,Frontier Analytics Corporation,Faith-Based,Large,Louisville,KY,1
102,Golden Gate Logistics,Community Services,Large,Nashville,GA,1
103,Liberty Credit Union,Healthcare,Medium,Memphis,KY,1
104,IronPeak Manufacturing,Nonprofit,Small,Memphis,TN,1
105,Apex Data Solutions,Faith-Based,Small,Nashville,GA,1
106,Skyward Cloud Innovations,Arts,Medium,Birmingham,GA,0
107,Apex Data Solutions,Arts,Small,Memphis,TN,0
108,HarborPoint Insurance,Startup,Medium,Atlanta,GA,1
109,Liberty Credit Union,Community Services,Small,Atlanta,GA,1
110,NorthBridge Technologies,Arts,Small,Nashville,KY,1
111,Vanguard Hospitality Group,Startup,Large,Louisville,GA,1
112,SilverLine Pharmaceuticals,Nonprofit,Large,Louisville,AL,1
113,Evergreen Energy Systems,Healthcare,Small,Nashville,TN,1
114,Redwood Media Group,Healthcare,Small,Louisville,KY,1
115,Summit Health Partners,Healthcare,Large,Birmingham,KY,1
116,SilverLine Pharmaceuticals,Arts,Large,Birmingham,AL,1
117,Pinnacle Retail Holdings,Nonprofit,Large,Louisville,TN,1
118,Apex Data Solutions,Arts,Medium,Atlanta,TN,1
119,Crescent Cyber Defense,Community Services,Small,Louisville,KY,1
120,HarborPoint Insurance,Arts,Large,Birmingham,GA,1
121,Evergreen Energy Systems,Nonprofit,Small,Knoxville,KY,1
122,Atlas Security Services,Nonprofit,Medium,Chattanooga,TN,1
123,BlueRiver Financial Group,Community Services,Medium,Memphis,AL,1
124,BrightPath Consulting,Nonprofit,Large,Knoxville,KY,1
125,Liberty Credit Union,Nonprofit,Medium,Louisville,TN,1
126,HarborPoint Insurance,Healthcare,Small,Atlanta,KY,1
127,SilverLine Pharmaceuticals,Community Services,Large,Nashville,GA,1
128,MetroLink Transportation,Education,Small,Louisville,KY,1
129,Liberty Credit Union,Education,Small,Atlanta,KY,0
130,Pinnacle Retail Holdings,Nonprofit,Medium,Chattanooga,TN,1
131,ClearWave Communications,Education,Medium,Louisville,TN,1
132,Atlas Security Services,Education,Medium,Birmingham,TN,1
133,Liberty Credit Union,Nonprofit,Medium,Nashville,KY,1
134,NorthBridge Technologies,Education,Medium,Atlanta,GA,1
135,Frontier Analytics Corporation,Arts,Large,Atlanta,AL,1
136,Redwood Media Group,Startup,Small,Atlanta,AL,1
137,Golden Gate Logistics,Community Services,Small,Chattanooga,TN,0
138,MetroLink Transportation,Startup,Small,Louisville,TN,1
139,BlueRiver Financial Group,Nonprofit,Small,Chattanooga,KY,1
140,Redwood Media Group,Healthcare,Medium,Memphis,AL,1
141,MetroLink Transportation,Community Services,Small,Memphis,TN,1
142,Frontier Analytics Corporation,Nonprofit,Large,Louisville,GA,1
143,BlueRiver Financial Group,Healthcare,Large,Birmingham,GA,0
144,Crescent Cyber Defense,Startup,Small,Chattanooga,TN,1
145,MetroLink Transportation,Nonprofit,Small,Nashville,TN,0
146,MetroLink Transportation,Community Services,Large,Atlanta,AL,1
147,Atlas Security Services,Community Services,Large,Atlanta,AL,1
148,IronPeak Manufacturing,Faith-Based,Medium,Louisville,KY,1
149,MetroLink Transportation,Arts,Large,Birmingham,AL,1
150,Evergreen Energy Systems,Education,Medium,Memphis,GA,1
151,NorthBridge Technologies,Healthcare,Medium,Memphis,GA,1
152,ClearWave Communications,Faith-Based,Medium,Atlanta,TN,1
153,Vanguard Hospitality Group,Education,Medium,Louisville,AL,1
154,Pinnacle Retail Holdings,Education,Medium,Chattanooga,KY,0
155,Vanguard Hospitality Group,Nonprofit,Small,Memphis,GA,1
156,Liberty Credit Union,Education,Large,Chattanooga,GA,1
157,BrightPath Consulting,Arts,Medium,Birmingham,KY,1
158,Pinnacle Retail Holdings,Community Services,Large,Memphis,KY,1
159,BrightPath Consulting,Faith-Based,Large,Memphis,GA,1
160,NorthBridge Technologies,Education,Medium,Knoxville,GA,0
161,Crescent Cyber Defense,Nonprofit,Small,Memphis,KY,1
162,Golden Gate Logistics,Arts,Medium,Nashville,GA,1
163,Golden Gate Logistics,Startup,Small,Louisville,TN,1
164,Skyward Cloud Innovations,Community Services,Large,Louisville,TN,1
165,BrightPath Consulting,Community Services,Small,Chattanooga,KY,1
166,Skyward Cloud Innovations,Faith-Based,Small,Birmingham,AL,1
167,SilverLine Pharmaceuticals,Community Services,Small,Memphis,KY,1
168,BrightPath Consulting,Education,Large,Nashville,KY,1
169,BlueRiver Financial Group,Nonprofit,Large,Chattanooga,AL,0
170,BlueRiver Financial Group,Community Services,Small,Knoxville,AL,1
171,BlueRiver Financial Group,Community Services,Small,Chattanooga,AL,1
172,SilverLine Pharmaceuticals,Startup,Medium,Chattanooga,TN,1
173,MetroLink Transportation,Startup,Small,Memphis,GA,1
174,Apex Data Solutions,Healthcare,Medium,Knoxville,TN,1
175,Liberty Credit Union,Arts,Small,Chattanooga,GA,1
176,Apex Data Solutions,Education,Medium,Nashville,TN,1
177,BrightPath Consulting,Community Services,Large,Nashville,GA,1
178,Evergreen Energy Systems,Community Services,Small,Louisville,TN,1
179,Evergreen Energy Systems,Nonprofit,Small,Knoxville,AL,1
180,Golden Gate Logistics,Healthcare,Small,Knoxville,KY,1
181,Atlas Security Services,Arts,Small,Louisville,TN,1
182,HarborPoint Insurance,Healthcare,Medium,Chattanooga,GA,1
183,Apex Data Solutions,Faith-Based,Small,Knoxville,AL,1
184,BrightPath Consulting,Arts,Large,Nashville,TN,1
185,Atlas Security Services,Community Services,Large,Nashville,TN,1
186,Vanguard Hospitality Group,Community Services,Small,Memphis,AL,1
187,Frontier Analytics Corporation,Arts,Large,Knoxville,TN,1
188,Pinnacle Retail Holdings,Community Services,Small,Chattanooga,KY,1
189,IronPeak Manufacturing,Education,Small,Louisville,TN,1
190,Apex Data Solutions,Arts,Large,Louisville,KY,0
191,HarborPoint Insurance,Healthcare,Small,Chattanooga,KY,1
192,Apex Data Solutions,Arts,Large,Birmingham,AL,1
193,SilverLine Pharmaceuticals,Community Services,Medium,Atlanta,TN,1
194,Skyward Cloud Innovations,Education,Small,Memphis,AL,1
195,MetroLink Transportation,Education,Medium,Louisville,TN,0
196,NorthBridge Technologies,Faith-Based,Large,Knoxville,TN,1
197,HarborPoint Insurance,Healthcare,Medium,Memphis,GA,0
198,Pinnacle Retail Holdings,Startup,Medium,Knoxville,TN,1
199,SilverLine Pharmaceuticals,Startup,Large,Birmingham,AL,0
200,Crescent Cyber Defense,Arts,Medium,Nashville,KY,0
