AssetID,ClientID,AssetName,AssetType,AssetEnvironment,AssetBusinessCriticality,AssetIPAddressOrHostname,AssetStatus
48,10,SWI-010-00048,Switch,Staging,High,SWI-010-00048,Planned
49,138,FIR-138-00049,Firewall,Staging,Medium,FIR-138-00049,Active
50,191,DAT-191-00050,Database,Test,Medium,10.191.0.50,Active
51,126,DAT-126-00051,Database,Dev,High,10.126.0.51,Active
52,56,CLO-056-00052,CloudVM,Staging,High,10.56.0.52,Active
53,26,WEB-026-00053,WebApp,Dev,High,WEB-026-00053,Active
54,49,WOR-049-00054,Workstation,Staging,High,10.49.0.54,Active
55,165,SER-165-00055,Server,Prod,Medium,SER-165-00055,Active
56,33,ROU-033-00056,Router,Prod,Low,ROU-033-00056,Active
57,56,ROU-056-00057,Router,Dev,High,10.56.0.57,Active
58,153,SER-153-00058,Server,Dev,High,10.153.0.58,Active
59,139,SWI-139-00059,Switch,Test,High,10.139.0.59,Active
60,7,FIR-007-00060,Firewall,Prod,Medium,10.7.0.60,Retired
61,61,WEB-061-00061,WebApp,Prod,High,WEB-061-00061,Active
62,33,DAT-033-00062,Database,Prod,Low,DAT-033-00062,Active
63,115,WEB-115-00063,WebApp,Prod,Medium,10.115.0.63,Retired
64,158,SER-158-00064,Server,Dev,Medium,10.158.0.64,Active
65,8,SER-008-00065,Server,Staging,Medium,10.8.0.65,Retired
66,28,CLO-028-00066,CloudVM,Staging,High,10.28.0.66,Active
67,83,FIR-083-00067,Firewall,Prod,High,FIR-083-00067,Active
68,163,WEB-163-00068,WebApp,Staging,Low,10.163.0.68,Active
69,117,DAT-117-00069,Database,Prod,Low,DAT-117-00069,Active
70,168,ROU-168-00070,Router,Staging,Medium,10.168.0.70,Active
71,106,WEB-106-00071,WebApp,Staging,Medium,10.106.0.71,Active
72,25,WEB-025-00072,WebApp,Staging,Medium,10.25.0.72,Active
73,96,FIR-096-00073,Firewall,Staging,High,FIR-096-00073,Active
74,22,WOR-022-00074,Workstation,Staging,High,10.22.0.74,Active
75,96,FIR-096-00075,Firewall,Prod,Low,10.96.0.75,Active
76,144,WEB-144-00076,WebApp,Prod,Medium,WEB-144-00076,Active
77,171,DAT-171-00077,Database,Prod,Medium,10.171.0.77,Active
78,91,WOR-091-00078,Workstation,Test,High,10.91.0.78,Active
79,58,WOR-058-00079,Workstation,Dev,Low,WOR-058-00079,Active
80,196,SWI-196-00080,Switch,Test,Medium,10.196.0.80,Retired
81,197,SER-197-00081,Server,Dev,High,SER-197-00081,Active
82,180,SWI-180-00082,Switch,Dev,Medium,SWI-180-00082,Active
83,37,DAT-037-00083,Database,Prod,High,10.37.0.83,Active
84,8,WOR-008-00084,Workstation,Test,Medium,10.8.0.84,Active
85,88,FIR-088-00085,Firewall,Dev,Medium,10.88.0.85,Planned
86,199,WOR-199-00086,Workstation,Prod,High,WOR-199-00086,Active
87,159,SER-159-00087,Server,Prod,Medium,10.159.0.87,Active
88,109,CLO-109-00088,CloudVM,Staging,Medium,CLO-109-00088,Active
89,194,WOR-194-00089,Workstation,Dev,Medium,WOR-194-00089,Active
90,174,CLO-174-00090,CloudVM,Dev,High,CLO-174-00090,Retired
91,154,SER-154-00091,Server,Prod,High,SER-154-00091,Active
92,55,FIR-055-00092,Firewall,Dev,Medium,FIR-055-00092,Retired
93,2,CLO-002-00093,CloudVM,Staging,High,CLO-002-00093,Active
94,137,ROU-137-00094,Router,Dev,High,ROU-137-00094,Active
95,190,SER-190-00095,Server,Staging,High,10.190.0.95,Retired
96,20,WEB-020-00096,WebApp,Staging,Low,10.20.0.96,Active
97,164,DAT-164-00097,Database,Dev,High,10.164.0.97,Planned
98,84,FIR-084-00098,Firewall,Staging,Low,10.84.0.98,Active
99,23,DAT-023-00099,Database,Prod,High,10.23.0.99,Active
100,103,WOR-103-00100,Workstation,Staging,Medium,10.103.0.100,Active
101,57,WEB-057-00101,WebApp,Test,High,10.57.0.101,Active
102,30,ROU-030-00102,Router,Dev,Medium,10.30.0.102,Active
103,166,FIR-166-00103,Firewall,Test,High,FIR-166-00103,Retired
104,51,FIR-051-00104,Firewall,Test,Low,FIR-051-00104,Retired
105,198,CLO-198-00105,CloudVM,Staging,Low,10.198.0.105,Planned
106,115,WEB-115-00106,WebApp,Dev,High,10.115.0.106,Active
107,121,CLO-121-00107,CloudVM,Dev,Medium,10.121.0.107,Active
108,91,WOR-091-00108,Workstation,Dev,Medium,10.91.0.108,Active
109,15,WEB-015-00109,WebApp,Dev,High,10.15.0.109,Active
110,24,DAT-024-00110,Database,Staging,Low,10.24.0.110,Active
111,190,SER-190-00111,Server,Staging,Low,10.190.0.111,Active
112,83,CLO-083-00112,CloudVM,Test,High,10.83.0.112,Active
113,88,WOR-088-00113,Workstation,Test,High,WOR-088-00113,Active
114,113,CLO-113-00114,CloudVM,Test,Medium,CLO-113-00114,Active
115,73,DAT-073-00115,Database,Staging,Medium,10.73.0.115,Active
116,14,WEB-014-00116,WebApp,Prod,Medium,WEB-014-00116,Active
117,174,DAT-174-00117,Database,Dev,Medium,10.174.0.117,Active
118,169,FIR-169-00118,Firewall,Dev,High,10.169.0.118,Planned
119,37,WEB-037-00119,WebApp,Dev,Low,10.37.0.119,Active
120,101,FIR-101-00120,Firewall,Prod,Medium,10.101.0.120,Active
121,165,WEB-165-00121,WebApp,Test,Low,10.165.0.121,Active
122,190,WOR-190-00122,Workstation,Staging,Low,WOR-190-00122,Retired
123,93,SWI-093-00123,Switch,Test,High,SWI-093-00123,Planned
124,197,CLO-197-00124,CloudVM,Test,High,10.197.0.124,Active
125,40,WOR-040-00125,Workstation,Dev,High,10.40.0.125,Active
126,139,SER-139-00126,Server,Dev,Low,SER-139-00126,Active
127,97,FIR-097-00127,Firewall,Test,High,10.97.0.127,Active
128,198,FIR-198-00128,Firewall,Staging,High,10.198.0.128,Planned
129,174,ROU-174-00129,Router,Staging,Low,ROU-174-00129,Active
130,192,CLO-192-00130,CloudVM,Test,Low,CLO-192-00130,Active
131,121,ROU-121-00131,Router,Dev,Low,10.121.0.131,Active
132,113,CLO-113-00132,CloudVM,Dev,Medium,10.113.0.132,Active
133,108,FIR-108-00133,Firewall,Test,Low,FIR-108-00133,Active
134,65,SER-065-00134,Server,Staging,Medium,10.65.0.134,Planned
135,27,WOR-027-00135,Workstation,Dev,High,10.27.0.135,Retired
136,70,CLO-070-00136,CloudVM,Test,Medium,CLO-070-00136,Active
137,57,CLO-057-00137,CloudVM,Dev,High,10.57.0.137,Active
138,102,WEB-102-00138,WebApp,Test,Medium,10.102.0.138,Active
139,96,ROU-096-00139,Router,Prod,Medium,10.96.0.139,Active
140,183,WEB-183-00140,WebApp,Test,High,WEB-183-00140,Active
141,121,FIR-121-00141,Firewall,Staging,Medium,10.121.0.141,Active
142,21,SER-021-00142,Server,Dev,High,10.21.0.142,Planned
143,141,DAT-141-00143,Database,Prod,Medium,DAT-141-00143,Active
144,32,SER-032-00144,Server,Test,Medium,10.32.0.144,Active
145,160,CLO-160-00145,CloudVM,Prod,High,10.160.0.145,Active
146,128,SER-128-00146,Server,Test,Low,SER-128-00146,Active
147,110,SER-110-00147,Server,Dev,High,10.110.0.147,Active
148,48,WOR-048-00148,Workstation,Dev,High,10.48.0.148,Active
149,140,SER-140-00149,Server,Staging,Medium,SER-140-00149,Active
150,100,WEB-100-00150,WebApp,Dev,Low,WEB-100-00150,Active
151,18,WEB-018-00151,WebApp,Test,Low,10.18.0.151,Active
152,27,WEB-027-00152,WebApp,Test,High,WEB-027-00152,Active
153,87,FIR-087-00153,Firewall,Staging,Low,10.87.0.153,Active
154,47,FIR-047-00154,Firewall,Prod,Low,10.47.0.154,Active
155,118,SER-118-00155,Server,Dev,High,SER-118-00155,Active
156,52,SER-052-00156,Server,Dev,Medium,10.52.0.156,Active
157,140,CLO-140-00157,CloudVM,Dev,High,10.140.0.157,Active
158,49,SWI-049-00158,Switch,Dev,High,10.49.0.158,Active
159,85,SWI-085-00159,Switch,Prod,Medium,10.85.0.159,Active
160,103,CLO-103-00160,CloudVM,Staging,Medium,10.103.0.160,Active
161,128,CLO-128-00161,CloudVM,Dev,Low,CLO-128-00161,Retired
162,22,DAT-022-00162,Database,Prod,Medium,10.22.0.162,Active
163,47,SWI-047-00163,Switch,Dev,High,SWI-047-00163,Active
164,170,SWI-170-00164,Switch,Dev,Medium,10.170.0.164,Active
165,110,FIR-110-00165,Firewall,Staging,Medium,10.110.0.165,Active
166,187,WEB-187-00166,WebApp,Staging,Medium,10.187.0.166,Retired
167,15,WOR-015-00167,Workstation,Staging,Medium,10.15.0.167,Active
168,192,FIR-192-00168,Firewall,Prod,High,10.192.0.168,Active
169,174,CLO-174-00169,CloudVM,Prod,High,CLO-174-00169,Active
170,200,WEB-200-00170,WebApp,Dev,Medium,10.200.0.170,Active
171,9,FIR-009-00171,Firewall,Staging,Medium,FIR-009-00171,Active
172,196,WOR-196-00172,Workstation,Test,Low,WOR-196-00172,Retired
173,81,SWI-081-00173,Switch,Test,High,SWI-081-00173,Active
174,48,CLO-048-00174,CloudVM,Staging,Low,CLO-048-00174,Active
175,199,SWI-199-00175,Switch,Staging,High,10.199.0.175,Planned
176,74,CLO-074-00176,CloudVM,Test,High,CLO-074-00176,Active
177,19,CLO-019-00177,CloudVM,Test,Low,10.19.0.177,Active
178,23,WEB-023-00178,WebApp,Dev,Low,WEB-023-00178,Active
179,139,SWI-139-00179,Switch,Dev,High,10.139.0.179,Retired
180,180,FIR-180-00180,Firewall,Dev,Low,FIR-180-00180,Active
181,52,FIR-052-00181,Firewall,Test,Medium,FIR-052-00181,Active
182,142,WEB-142-00182,WebApp,Staging,Low,WEB-142-00182,Active
183,23,WOR-023-00183,Workstation,Dev,Medium,10.23.0.183,Active
184,185,CLO-185-00184,CloudVM,Staging,Medium,10.185.0.184,Active
185,19,FIR-019-00185,Firewall,Dev,Low,FIR-019-00185,Active
186,120,WEB-120-00186,WebApp,Test,Low,10.120.0.186,Active
187,47,FIR-047-00187,Firewall,Staging,Low,10.47.0.187,Active
188,15,WOR-015-00188,Workstation,Test,Medium,WOR-015-00188,Active
189,83,ROU-083-00189,Router,Dev,Low,10.83.0.189,Active
190,21,SWI-021-00190,Switch,Test,Low,10.21.0.190,Active
191,71,FIR-071-00191,Firewall,Dev,Low,10.71.0.191,Active
192,129,FIR-129-00192,Firewall,Test,High,10.129.0.192,Active
193,185,WEB-185-00193,WebApp,Prod,High,WEB-185-00193,Active
194,165,SWI-165-00194,Switch,Test,Low,10.165.0.194,Active
195,164,SER-164-00195,Server,Staging,Low,10.164.0.195,Active
196,165,SWI-165-00196,Switch,Staging,High,10.165.0.196,Retired
197,176,DAT-176-00197,Database,Dev,Medium,DAT-176-00197,Active
198,16,FIR-016-00198,Firewall,Staging,Medium,10.16.0.198,Active
199,53,WEB-053-00199,WebApp,Test,Medium,10.53.0.199,Active
200,82,WEB-082-00200,WebApp,Staging,High,10.82.0.200,Retired
201,132,WOR-132-00201,Workstation,Dev,High,10.132.0.201,Active
202,69,CLO-069-00202,CloudVM,Test,High,CLO-069-00202,Active
203,75,DAT-075-00203,Database,Staging,High,10.75.0.203,Active
204,41,WEB-041-00204,WebApp,Dev,High,10.41.0.204,Active
205,128,CLO-128-00205,CloudVM,Staging,Medium,10.128.0.205,Planned
206,24,DAT-024-00206,Database,Staging,High,DAT-024-00206,Active
207,91,SER-091-00207,Server,Prod,Medium,10.91.0.207,Active
208,168,CLO-168-00208,CloudVM,Dev,Low,CLO-168-00208,Active
209,28,DAT-028-00209,Database,Test,Medium,10.28.0.209,Planned
210,196,DAT-196-00210,Database,Dev,High,10.196.0.210,Retired
211,146,ROU-146-00211,Router,Dev,Low,ROU-146-00211,Active
212,99,CLO-099-00212,CloudVM,Dev,Low,10.99.0.212,Retired
213,31,FIR-031-00213,Firewall,Prod,Medium,FIR-031-00213,Planned
214,87,WEB-087-00214,WebApp,Test,High,10.87.0.214,Active
215,103,SER-103-00215,Server,Prod,High,SER-103-00215,Active
216,86,CLO-086-00216,CloudVM,Staging,High,10.86.0.216,Active
217,132,FIR-132-00217,Firewall,Dev,Low,FIR-132-00217,Retired
218,101,SWI-101-00218,Switch,Dev,Low,10.101.0.218,Active
219,137,CLO-137-00219,CloudVM,Dev,Medium,10.137.0.219,Retired
220,95,WEB-095-00220,WebApp,Prod,Medium,10.95.0.220,Active
221,186,SER-186-00221,Server,Staging,Medium,10.186.0.221,Active
222,199,ROU-199-00222,Router,Prod,Low,10.199.0.222,Active
223,135,DAT-135-00223,Database,Test,Low,DAT-135-00223,Active
224,147,WOR-147-00224,Workstation,Test,High,10.147.0.224,Planned
225,108,FIR-108-00225,Firewall,Staging,Low,FIR-108-00225,Retired
226,129,CLO-129-00226,CloudVM,Prod,Low,CLO-129-00226,Retired
227,54,WEB-054-00227,WebApp,Staging,Low,WEB-054-00227,Active
228,45,CLO-045-00228,CloudVM,Dev,Low,CLO-045-00228,Active
229,198,SWI-198-00229,Switch,Staging,High,10.198.0.229,Active
230,72,SWI-072-00230,Switch,Test,Medium,10.72.0.230,Active
231,181,ROU-181-00231,Router,Staging,Medium,10.181.0.231,Active
232,144,SWI-144-00232,Switch,Dev,High,10.144.0.232,Active
233,140,DAT-140-00233,Database,Staging,Medium,10.140.0.233,Active
234,38,SWI-038-00234,Switch,Prod,Medium,10.38.0.234,Active
235,21,WEB-021-00235,WebApp,Staging,Low,WEB-021-00235,Planned
236,123,ROU-123-00236,Router,Test,Low,ROU-123-00236,Retired
237,144,SWI-144-00237,Switch,Test,High,10.144.0.237,Active
238,151,ROU-151-00238,Router,Test,High,10.151.0.238,Active
239,136,ROU-136-00239,Router,Test,High,ROU-136-00239,Active
240,85,CLO-085-00240,CloudVM,Prod,Low,10.85.0.240,Active
241,2,FIR-002-00241,Firewall,Staging,Low,10.2.0.241,Retired
242,122,CLO-122-00242,CloudVM,Test,Medium,CLO-122-00242,Retired
243,166,SER-166-00243,Server,Prod,Low,10.166.0.243,Active
244,137,SER-137-00244,Server,Test,Medium,10.137.0.244,Active
245,46,SER-046-00245,Server,Staging,Medium,SER-046-00245,Active
246,192,SWI-192-00246,Switch,Prod,High,SWI-192-00246,Active
247,155,WOR-155-00247,Workstation,Dev,Medium,10.155.0.247,Active
248,165,CLO-165-00248,CloudVM,Test,Low,10.165.0.248,Retired
249,50,WOR-050-00249,Workstation,Dev,High,10.50.0.249,Active
250,166,SWI-166-00250,Switch,Test,High,10.166.0.250,Active
251,76,ROU-076-00251,Router,Test,Low,10.76.0.251,Retired
252,104,DAT-104-00252,Database,Dev,High,10.104.0.252,Active
253,25,FIR-025-00253,Firewall,Test,Medium,FIR-025-00253,Active
254,64,SER-064-00254,Server,Dev,Medium,SER-064-00254,Active
255,193,SWI-193-00255,Switch,Dev,Medium,10.193.0.255,Active
256,147,SER-147-00256,Server,Dev,Low,SER-147-00256,Active
257,61,SER-061-00257,Server,Prod,Medium,SER-061-00257,Active
258,104,SWI-104-00258,Switch,Prod,Low,10.104.1.2,Active
259,76,WEB-076-00259,WebApp,Test,High,10.76.1.3,Planned
260,123,FIR-123-00260,Firewall,Staging,Low,10.123.1.4,Active
261,96,DAT-096-00261,Database,Staging,Low,10.96.1.5,Retired
262,56,ROU-056-00262,Router,Prod,Low,10.56.1.6,Planned
263,181,WEB-181-00263,WebApp,Prod,Low,WEB-181-00263,Active
264,141,ROU-141-00264,Router,Test,High,ROU-141-00264,Retired
265,134,CLO-134-00265,CloudVM,Prod,Low,CLO-134-00265,Active
266,150,CLO-150-00266,CloudVM,Prod,Low,10.150.1.10,Retired
267,15,CLO-015-00267,CloudVM,Test,Low,10.15.1.11,Active
268,145,SER-145-00268,Server,Staging,Low,10.145.1.12,Active
269,186,SER-186-00269,Server,Staging,Medium,10.186.1.13,Active
270,191,ROU-191-00270,Router,Prod,High,10.191.1.14,Retired
271,180,WOR-180-00271,Workstation,Prod,High,10.180.1.15,Active
272,121,SER-121-00272,Server,Dev,Medium,SER-121-00272,Active
273,35,DAT-035-00273,Database,Dev,Medium,10.35.1.17,Retired
274,97,DAT-097-00274,Database,Prod,Low,10.97.1.18,Active
275,139,FIR-139-00275,Firewall,Dev,High,FIR-139-00275,Active
276,138,DAT-138-00276,Database,Test,Low,10.138.1.20,Active
277,1,SER-001-00277,Server,Dev,Medium,10.1.1.21,Active
278,140,DAT-140-00278,Database,Staging,High,DAT-140-00278,Active
279,89,FIR-089-00279,Firewall,Dev,High,10.89.1.23,Retired
280,186,WOR-186-00280,Workstation,Prod,Low,10.186.1.24,Active
281,197,SER-197-00281,Server,Test,High,SER-197-00281,Active
282,153,SER-153-00282,Server,Staging,Low,10.153.1.26,Active
283,13,ROU-013-00283,Router,Prod,Medium,10.13.1.27,Retired
284,139,ROU-139-00284,Router,Prod,High,10.139.1.28,Planned
285,75,ROU-075-00285,Router,Dev,Low,10.75.1.29,Active
286,173,WEB-173-00286,WebApp,Test,Medium,10.173.1.30,Retired
287,170,ROU-170-00287,Router,Staging,Medium,ROU-170-00287,Active
288,143,FIR-143-00288,Firewall,Staging,Low,10.143.1.32,Retired
289,89,DAT-089-00289,Database,Dev,Low,10.89.1.33,Active
290,39,SWI-039-00290,Switch,Staging,High,10.39.1.34,Retired
291,122,ROU-122-00291,Router,Test,Medium,10.122.1.35,Active
292,37,CLO-037-00292,CloudVM,Prod,Low,10.37.1.36,Active
293,107,FIR-107-00293,Firewall,Staging,High,FIR-107-00293,Active
294,85,WOR-085-00294,Workstation,Staging,Medium,WOR-085-00294,Active
295,186,ROU-186-00295,Router,Prod,Medium,ROU-186-00295,Active
296,155,SER-155-00296,Server,Prod,High,10.155.1.40,Active
297,151,ROU-151-00297,Router,Staging,High,10.151.1.41,Active
298,86,SWI-086-00298,Switch,Prod,High,10.86.1.42,Active
299,190,WOR-190-00299,Workstation,Staging,High,10.190.1.43,Active
300,181,ROU-181-00300,Router,Staging,High,10.181.1.44,Active
301,199,SWI-199-00301,Switch,Staging,Medium,10.199.1.45,Active
302,92,SWI-092-00302,Switch,Dev,Medium,10.92.1.46,Retired
303,128,CLO-128-00303,CloudVM,Prod,Low,10.128.1.47,Active
304,82,ROU-082-00304,Router,Dev,Medium,10.82.1.48,Active
305,145,ROU-145-00305,Router,Test,High,ROU-145-00305,Active
306,150,DAT-150-00306,Database,Dev,High,DAT-150-00306,Active
307,59,DAT-059-00307,Database,Test,Medium,10.59.1.51,Retired
308,176,WEB-176-00308,WebApp,Dev,Medium,10.176.1.52,Active
309,165,CLO-165-00309,CloudVM,Staging,High,10.165.1.53,Active
310,91,FIR-091-00310,Firewall,Test,Low,10.91.1.54,Active
311,48,SER-048-00311,Server,Prod,High,10.48.1.55,Active
312,172,SER-172-00312,Server,Prod,Medium,SER-172-00312,Active
313,162,ROU-162-00313,Router,Prod,Low,ROU-162-00313,Active
314,56,CLO-056-00314,CloudVM,Dev,High,10.56.1.58,Retired
315,171,CLO-171-00315,CloudVM,Staging,High,CLO-171-00315,Active
316,142,DAT-142-00316,Database,Prod,High,10.142.1.60,Active
317,71,SWI-071-00317,Switch,Prod,Low,10.71.1.61,Active
318,173,DAT-173-00318,Database,Test,High,10.173.1.62,Active
319,135,FIR-135-00319,Firewall,Test,High,10.135.1.63,Active
320,65,WEB-065-00320,WebApp,Dev,Medium,WEB-065-00320,Active
321,104,CLO-104-00321,CloudVM,Test,Low,CLO-104-00321,Retired
322,176,WOR-176-00322,Workstation,Prod,High,10.176.1.66,Planned
323,97,CLO-097-00323,CloudVM,Prod,Low,CLO-097-00323,Active
324,44,WOR-044-00324,Workstation,Staging,Medium,10.44.1.68,Active
325,85,WOR-085-00325,Workstation,Prod,High,WOR-085-00325,Active
326,178,CLO-178-00326,CloudVM,Dev,High,10.178.1.70,Active
327,176,SWI-176-00327,Switch,Prod,High,10.176.1.71,Active
328,81,SER-081-00328,Server,Test,Low,SER-081-00328,Active
329,183,DAT-183-00329,Database,Prod,Medium,DAT-183-00329,Retired
330,62,DAT-062-00330,Database,Dev,Medium,10.62.1.74,Active
331,36,WOR-036-00331,Workstation,Dev,High,WOR-036-00331,Retired
332,60,WOR-060-00332,Workstation,Dev,Low,10.60.1.76,Active
333,153,DAT-153-00333,Database,Dev,High,10.153.1.77,Active
334,116,CLO-116-00334,CloudVM,Test,Medium,10.116.1.78,Active
335,97,DAT-097-00335,Database,Test,Low,10.97.1.79,Active
336,98,WOR-098-00336,Workstation,Dev,High,10.98.1.80,Retired
337,22,SWI-022-00337,Switch,Test,Medium,10.22.1.81,Active
338,163,FIR-163-00338,Firewall,Staging,Medium,FIR-163-00338,Retired
339,24,SER-024-00339,Server,Dev,Medium,SER-024-00339,Active
340,70,WOR-070-00340,Workstation,Test,High,WOR-070-00340,Retired
341,115,DAT-115-00341,Database,Prod,High,DAT-115-00341,Active
342,142,WOR-142-00342,Workstation,Dev,Medium,WOR-142-00342,Retired
343,106,DAT-106-00343,Database,Prod,Low,10.106.1.87,Active
344,63,FIR-063-00344,Firewall,Staging,High,FIR-063-00344,Active
345,78,SWI-078-00345,Switch,Staging,High,SWI-078-00345,Active
346,112,SWI-112-00346,Switch,Staging,Medium,10.112.1.90,Retired
347,20,WEB-020-00347,WebApp,Dev,High,10.20.1.91,Planned
348,127,ROU-127-00348,Router,Staging,High,ROU-127-00348,Active
349,2,DAT-002-00349,Database,Dev,Low,DAT-002-00349,Active
350,85,CLO-085-00350,CloudVM,Dev,Medium,10.85.1.94,Retired
351,167,FIR-167-00351,Firewall,Dev,Medium,10.167.1.95,Retired
352,178,ROU-178-00352,Router,Staging,Medium,ROU-178-00352,Planned
353,102,WEB-102-00353,WebApp,Dev,Low,10.102.1.97,Active
354,126,ROU-126-00354,Router,Dev,Medium,ROU-126-00354,Active
355,101,WEB-101-00355,WebApp,Prod,Low,WEB-101-00355,Active
356,140,FIR-140-00356,Firewall,Prod,Low,10.140.1.100,Active
357,182,ROU-182-00357,Router,Staging,Medium,10.182.1.101,Active
358,18,DAT-018-00358,Database,Staging,High,10.18.1.102,Active
359,62,SWI-062-00359,Switch,Test,Low,10.62.1.103,Active
360,97,WOR-097-00360,Workstation,Staging,Low,10.97.1.104,Retired
361,103,DAT-103-00361,Database,Prod,Medium,10.103.1.105,Active
362,138,WOR-138-00362,Workstation,Prod,High,10.138.1.106,Active
363,91,FIR-091-00363,Firewall,Prod,Low,10.91.1.107,Active
364,174,DAT-174-00364,Database,Dev,Medium,DAT-174-00364,Active
365,26,SWI-026-00365,Switch,Test,Low,10.26.1.109,Active
366,143,ROU-143-00366,Router,Staging,Medium,ROU-143-00366,Active
367,198,FIR-198-00367,Firewall,Dev,High,10.198.1.111,Active
368,76,DAT-076-00368,Database,Prod,High,10.76.1.112,Active
369,187,FIR-187-00369,Firewall,Dev,Medium,FIR-187-00369,Active
370,53,CLO-053-00370,CloudVM,Dev,Medium,CLO-053-00370,Active
371,185,CLO-185-00371,CloudVM,Dev,High,CLO-185-00371,Active
372,182,WOR-182-00372,Workstation,Prod,Medium,10.182.1.116,Active
373,174,FIR-174-00373,Firewall,Test,Low,FIR-174-00373,Active
374,41,WEB-041-00374,WebApp,Staging,Medium,WEB-041-00374,Retired
375,104,FIR-104-00375,Firewall,Test,Low,10.104.1.119,Planned
376,102,SER-102-00376,Server,Test,Medium,10.102.1.120,Active
377,100,SER-100-00377,Server,Test,High,SER-100-00377,Active
378,181,WOR-181-00378,Workstation,Prod,Low,WOR-181-00378,Active
379,84,ROU-084-00379,Router,Staging,High,ROU-084-00379,Active
380,126,WEB-126-00380,WebApp,Staging,Low,WEB-126-00380,Active
381,30,WEB-030-00381,WebApp,Dev,Medium,10.30.1.125,Active
382,173,SWI-173-00382,Switch,Prod,Low,SWI-173-00382,Active
383,31,ROU-031-00383,Router,Dev,High,ROU-031-00383,Active
384,178,FIR-178-00384,Firewall,Staging,Medium,10.178.1.128,Active
385,148,DAT-148-00385,Database,Staging,High,10.148.1.129,Active
386,138,FIR-138-00386,Firewall,Test,Medium,FIR-138-00386,Active
387,48,WEB-048-00387,WebApp,Staging,Low,WEB-048-00387,Active
388,92,SER-092-00388,Server,Staging,High,SER-092-00388,Active
389,99,CLO-099-00389,CloudVM,Staging,Low,10.99.1.133,Planned
390,182,CLO-182-00390,CloudVM,Staging,High,CLO-182-00390,Active
