IncAssetID,IncidentID,AssetID,IncAssetRoleInIncident
107,5297,579,LateralMovement
108,307,371,LateralMovement
109,4242,2982,Source
110,1463,7016,Target
111,6760,4934,Unknown
112,3133,7288,Unknown
113,3860,6716,Target
114,7134,2479,LateralMovement
115,7520,2155,Unknown
116,1677,4149,Unknown
117,7242,7459,LateralMovement
118,1602,1428,Target
119,8410,1702,Source
120,3908,2781,Unknown
121,359,5088,Unknown
122,7151,2044,Source
123,9048,1060,LateralMovement
124,8341,2492,LateralMovement
125,7654,4721,Source
126,2014,2392,Target
127,9839,6646,Unknown
128,520,1089,LateralMovement
129,6099,6674,Source
130,8223,3890,Target
131,5479,6539,Unknown
132,9781,4359,Source
133,2662,1841,Unknown
134,4166,4966,Source
135,7375,3041,Target
136,5041,3776,Target
137,2932,3,Source
138,2835,5495,LateralMovement
139,806,4997,Source
140,3055,1164,Source
141,2552,6764,Source
142,6570,5384,Target
143,3072,4543,Target
144,6075,3430,Target
145,7704,1329,Unknown
146,1418,6463,LateralMovement
147,2025,2559,Source
148,8797,2418,Unknown
149,1456,3183,Source
150,5726,5486,Source
151,6019,6058,Target
152,3965,7075,Target
153,2871,5376,Target
154,2629,3820,LateralMovement
155,3035,6480,LateralMovement
156,7841,2446,Source
157,1830,7147,Source
158,9428,1395,LateralMovement
159,3170,1531,Source
160,4458,1845,LateralMovement
161,8618,4112,LateralMovement
162,2191,9,LateralMovement
163,9303,4739,Target
164,8898,3798,Source
165,7899,7489,LateralMovement
166,9026,6721,Target
167,262,5900,Target
168,2362,5443,Source
169,2454,5405,LateralMovement
170,654,1078,Unknown
171,1970,2045,Target
172,6834,6999,LateralMovement
173,4141,7174,Unknown
174,9240,65,Target
175,5731,5231,Unknown
176,3891,4887,Unknown
177,3712,1387,Unknown
178,9731,1519,Target
179,3063,2451,Target
180,3682,5792,Unknown
181,4781,999,Source
182,3271,2695,Source
183,8706,6177,Source
184,8798,5608,Source
185,1719,7480,Source
186,6245,190,LateralMovement
187,3455,5599,LateralMovement
188,6057,2185,Target
189,4036,6364,LateralMovement
190,7589,2576,LateralMovement
191,4510,3713,Unknown
192,5052,6072,LateralMovement
193,6097,5282,Source
194,4813,5957,Source
195,5679,5529,Target
196,5937,5201,Source
197,3603,2752,Unknown
198,9352,4515,Unknown
199,6351,1533,Unknown
200,90,7491,Target
201,6077,335,Target
202,5708,5283,Unknown
203,2114,838,LateralMovement
204,2214,3690,Unknown
205,6771,7166,Unknown
206,5120,1803,Unknown
207,9278,6754,Source
208,3594,1026,Target
209,7765,1814,Target
210,2037,3491,Target
211,7127,3124,LateralMovement
212,6847,110,Source
213,4392,4256,Unknown
214,2168,4776,Target
215,7275,706,Unknown
216,8836,7423,Target
217,3005,3512,Unknown
218,5826,4449,LateralMovement
219,9232,258,Source
220,7322,3963,Source
221,6905,1037,Source
222,8586,1056,Target
223,5747,6352,Unknown
224,9257,3726,Target
225,8353,4172,Source
226,2636,3332,LateralMovement
227,7963,5546,Target
228,7412,617,Unknown
229,578,947,LateralMovement
230,1935,4584,LateralMovement
231,8880,957,Source
232,9457,4081,Target
233,2263,7244,Unknown
234,1875,1205,LateralMovement
235,4396,1852,Target
236,5671,4300,LateralMovement
237,9559,3128,LateralMovement
238,3210,4020,Source
239,3249,6732,Source
240,1170,3256,LateralMovement
241,5344,3156,Target
242,6316,1253,LateralMovement
243,8052,5213,Unknown
244,5356,660,Unknown
245,8578,2026,Unknown
246,3073,7371,Source
247,6287,3155,Target
248,5548,6266,Source
249,8455,6152,Source
250,2644,6777,Unknown
251,3496,6147,LateralMovement
252,672,4742,Target
253,1553,6634,Target
254,6856,6717,LateralMovement
255,4756,6880,Source
256,7923,4019,Source
257,3488,4174,Target
258,8891,522,Source
259,7155,5946,LateralMovement
260,2912,5647,Target
261,9768,5735,Unknown
262,7109,1529,Unknown
263,1343,5696,LateralMovement
264,1711,476,Target
265,2942,992,Unknown
266,8722,4258,Target
267,8662,3696,Source
268,554,7057,Unknown
269,8306,1610,LateralMovement
270,2946,6481,Unknown
271,9022,2357,LateralMovement
272,8207,3924,LateralMovement
273,938,1535,Unknown
274,168,3867,Unknown
275,5844,1096,Source
276,595,2292,LateralMovement
277,9058,1334,Target
278,177,7132,Source
279,1339,761,LateralMovement
280,1137,6947,Target
281,5277,5067,Unknown
282,5738,2759,Unknown
283,4801,6736,Source
284,9909,5473,Target
285,4538,5997,Target
286,1270,60,LateralMovement
287,56,6498,Unknown
288,6272,4008,Unknown
289,8262,3568,Source
290,6438,6068,Target
291,4112,5009,Unknown
292,9371,464,Unknown
293,1915,6055,LateralMovement
294,954,3320,Source
295,2557,7038,Unknown
296,6406,3349,LateralMovement
297,5148,3579,Unknown
298,4911,191,Unknown
299,2629,3881,Source
300,6443,4273,Source
301,4302,3072,Source
302,2325,390,LateralMovement
303,2744,1798,Target
304,9184,1058,Target
305,6441,1947,Source
306,2251,5821,Unknown
307,4150,6131,Target
308,4634,700,Source
309,6999,1379,LateralMovement
310,1058,4434,LateralMovement
311,8323,4848,LateralMovement
312,3675,6101,Target
313,7244,601,Target
314,6702,3706,Source
315,7631,6003,LateralMovement
316,6075,5376,Unknown
317,2958,594,Source
318,1596,3241,LateralMovement
319,7287,7225,Source
320,3577,4510,Target
321,7969,5880,Target
322,618,1189,Target
323,69,4322,Unknown
324,234,5109,Target
325,9321,5153,LateralMovement
326,2270,1946,Unknown
327,7817,2334,LateralMovement
328,2825,2292,LateralMovement
329,7405,640,Unknown
330,8109,5203,LateralMovement
331,983,5362,Source
332,2901,2810,Unknown
333,2684,2216,Target
334,2759,2972,Unknown
335,6941,4914,Source
336,7861,5194,Unknown
337,4039,4515,LateralMovement
338,254,2602,Source
339,2493,6298,Target
340,8244,2912,LateralMovement
341,7606,1377,Source
342,6739,2957,Source
343,4299,6756,Target
344,9830,6734,LateralMovement
345,8763,3585,Target
346,6692,3745,Unknown
347,3241,2987,LateralMovement
348,2120,4604,Source
349,8070,7226,Target
350,6232,1203,LateralMovement
351,8328,4586,Unknown
352,3934,6554,LateralMovement
353,7267,2222,Unknown
354,8754,7316,Source
355,6152,1811,Unknown
356,8757,2614,Target
357,7356,6551,Source
358,2960,4457,LateralMovement
359,1079,1742,Unknown
360,699,3787,LateralMovement
361,3962,6509,Unknown
362,2846,5345,Unknown
363,7279,2270,Target
364,948,1053,Source
365,2974,6271,Unknown
366,5842,7163,Source
367,290,4062,Source
368,3792,775,Target
369,8590,4107,LateralMovement
370,1215,1479,Unknown
371,3867,5802,Target
372,8151,5030,Source
373,4302,6311,Source
374,9085,4197,Unknown
375,48,1793,Target
376,2588,5385,Unknown
377,6363,586,LateralMovement
378,3847,5108,Unknown
379,4422,4924,Source
380,2539,3055,LateralMovement
381,9912,6154,LateralMovement
382,589,2082,Unknown
383,9313,734,Target
384,1366,5992,Source
385,2428,3717,LateralMovement
386,977,913,Target
387,5321,3974,Unknown
388,501,7288,LateralMovement
389,4832,1489,LateralMovement
390,3452,3185,Target
391,6428,2248,Source
392,9293,2509,Target
393,8027,223,Target
394,2994,7079,Target
395,1828,5593,LateralMovement
396,3320,1503,LateralMovement
397,6259,817,LateralMovement
398,6375,382,LateralMovement
399,6757,1570,Source
400,8698,1629,Unknown
401,4825,4261,Source
402,7183,4292,Source
403,7816,2260,Unknown
404,2736,6532,LateralMovement
405,8155,6007,Unknown
406,3465,5858,LateralMovement
407,622,1254,Source
408,6150,5820,LateralMovement
409,5987,2872,Source
410,2734,5402,Target
411,7989,2364,Source
412,5475,147,Source
413,1642,36,Unknown
414,6439,1766,Source
415,5253,3757,Unknown
416,5490,4157,Target
417,7247,2532,LateralMovement
418,7281,1065,LateralMovement
419,5909,228,Unknown
420,5320,2642,Source
421,1576,6315,Source
422,8884,1845,LateralMovement
423,8561,3866,Unknown
424,3078,3679,LateralMovement
425,4465,3834,Target
426,2956,3721,Unknown
427,3962,4207,Unknown
428,3213,2259,LateralMovement
429,9622,1843,Source
430,2886,7337,Target
431,1401,3747,Source
432,5139,3873,Unknown
433,8679,3050,Unknown
434,3972,3427,Source
435,911,416,Target
436,2448,751,LateralMovement
437,6564,6865,LateralMovement
438,4049,1477,LateralMovement
439,6539,5646,Unknown
440,8064,2183,Unknown
441,8825,6096,Target
442,5435,3567,Target
443,6325,940,Target
444,131,7356,Target
445,4591,4356,LateralMovement
446,4397,3749,LateralMovement
447,5467,6296,LateralMovement
448,6439,6609,Target
449,3359,4664,Target
450,7975,4668,Target
451,8059,4054,Target
452,1310,875,Source
453,5609,4831,Source
454,9672,5308,LateralMovement
455,2540,3034,Target
456,4651,6591,Target
457,2082,2599,Source
458,6292,5158,LateralMovement
459,5719,2021,LateralMovement
460,8316,3250,Source
461,9210,7257,Source
462,9050,2565,Unknown
463,3349,4113,Target
464,6097,2828,LateralMovement
465,8502,1554,Source
466,7755,2394,LateralMovement
467,8680,52,Unknown
468,3406,2659,Target
469,1018,2002,Unknown
470,356,742,Source
471,560,1206,Unknown
472,9068,3603,Target
473,6495,3744,Target
474,5955,3760,Source
475,2035,7424,Source
476,6249,2654,LateralMovement
477,6559,368,Unknown
478,3996,5053,Source
479,7035,7257,Unknown
480,7276,5143,Unknown
481,8267,1088,Target
482,6347,3805,Target
483,1591,2816,Target
484,7360,6032,LateralMovement
485,5727,5710,Target
486,862,5715,LateralMovement
487,1283,760,LateralMovement
488,1415,5760,Target
489,4604,4428,LateralMovement
490,8179,1330,LateralMovement
491,908,5241,Unknown
492,8995,6878,LateralMovement
493,6166,2210,LateralMovement
494,3351,3853,Source
495,6980,2603,Source
496,4113,6120,LateralMovement
497,2416,6987,Unknown
498,8302,363,LateralMovement
499,6981,7159,Unknown
500,1759,6764,LateralMovement
501,9749,7102,Source
502,1691,6930,Unknown
503,438,1244,Source
504,7883,181,LateralMovement
505,2021,1969,LateralMovement
506,8023,4700,LateralMovement
507,3819,6413,Unknown
508,725,1579,Unknown
509,6392,3105,Target
510,8405,4792,Target
511,9887,2884,Unknown
512,8454,6058,Unknown
513,8936,2357,Source
514,3947,423,Source
515,6101,5885,LateralMovement
516,6628,4366,Source
517,4198,2068,LateralMovement
518,2289,6670,Target
519,1711,3913,Target
520,2384,4599,Unknown
521,6770,4453,Source
522,9541,2532,Unknown
523,5545,6765,Unknown
524,8376,6249,Target
525,3000,4524,Target
526,4951,4134,Target
527,366,4510,LateralMovement
528,7114,1174,Target
529,7594,799,Unknown
530,2031,4305,Source
531,3307,181,Unknown
532,3734,7102,Target
533,7842,7211,Unknown
534,352,2456,Unknown
535,9569,7210,LateralMovement
536,9115,5535,Target
537,4855,1690,Source
538,4637,4567,Target
539,8955,4916,Unknown
540,4133,3069,Unknown
541,6971,116,Unknown
542,7961,7348,Unknown
543,8591,2297,Source
544,3100,2663,LateralMovement
545,1334,5048,Source
546,8309,3666,Source
547,4507,4007,Unknown
548,8823,7248,Source
549,7430,4142,Target
550,8166,6746,LateralMovement
551,4138,2398,Target
552,3016,6795,Target
553,4659,6736,Source
554,901,4533,Target
555,7817,67,Source
556,9618,5791,Unknown
557,9861,3591,LateralMovement
558,9914,1095,Source
559,1614,4602,LateralMovement
560,4755,3387,Target
561,367,38,LateralMovement
562,9987,5611,Target
563,8575,528,LateralMovement
564,6991,3136,Target
565,4116,6401,LateralMovement
566,6792,988,Target
567,556,5793,Unknown
568,7548,3042,LateralMovement
569,8965,166,Source
570,6012,118,Unknown
571,9703,357,Source
572,5415,478,Source
573,1957,572,Source
574,8211,4285,LateralMovement
575,1084,1061,Unknown
576,3442,4637,Unknown
577,6190,4607,Source
578,1231,2403,Target
579,7543,5458,Unknown
580,9810,6425,Target
581,852,3221,LateralMovement
582,7464,4321,LateralMovement
583,7990,1078,LateralMovement
584,1104,6168,Source
585,8127,3549,LateralMovement
586,4463,6683,Source
587,4934,4316,Source
588,4556,6647,Unknown
589,4399,429,Unknown
590,7231,1702,Source
591,1238,3508,Source
592,6442,2350,Target
593,4690,5133,Source
594,8997,431,Unknown
595,9818,2428,Unknown
596,201,3120,LateralMovement
597,1148,5218,LateralMovement
598,765,3357,Target
599,3396,3291,LateralMovement
600,7224,1401,Unknown
601,2948,6656,Unknown
602,2080,6876,LateralMovement
603,1179,6974,Unknown
604,9792,6061,LateralMovement
605,9516,5199,Target
606,8553,7485,Unknown
607,419,5530,LateralMovement
608,9872,3161,Unknown
609,127,4416,Unknown
610,612,7468,Unknown
611,8033,1153,LateralMovement
612,4847,5314,Source
613,4940,5301,Unknown
614,6194,1818,Unknown
615,9685,2709,Source
616,8216,642,Target
617,7519,1277,Target
618,5668,5835,LateralMovement
619,6595,845,Unknown
620,7098,3967,LateralMovement
621,9453,5287,Source
622,1668,3686,Unknown
623,8939,7062,LateralMovement
624,1456,5297,Unknown
625,1591,6484,Target
626,2354,1795,Target
627,1083,1941,Unknown
628,1273,2301,Target
629,3110,6242,LateralMovement
630,2348,1483,Unknown
631,6363,4841,Target
632,6339,863,Unknown
633,9104,3951,Target
634,3987,7157,Target
635,8583,4159,Unknown
636,2226,5991,Unknown
637,3722,3868,Source
638,7075,2060,Unknown
639,5380,3403,Source
640,7466,2841,Source
641,3894,5765,LateralMovement
642,2700,5201,Unknown
643,3861,367,Unknown
644,958,4226,Source
645,7339,974,Target
646,8745,4226,Source
647,9021,7073,LateralMovement
648,4659,6751,LateralMovement
649,6167,2738,LateralMovement
650,44,6234,LateralMovement
651,1535,5776,Unknown
652,6903,719,Unknown
653,9992,3484,Source
654,4423,6507,Unknown
655,6406,258,LateralMovement
656,8029,2748,Source
657,4440,4753,Source
658,6729,1330,Unknown
659,9645,5998,Source
660,8740,2923,Source
661,8345,5653,Target
662,6829,6108,Source
663,2038,1582,Source
664,5584,3677,LateralMovement
665,1288,938,LateralMovement
666,9575,4711,Unknown
667,5180,5419,Target
668,7645,6811,Source
669,4265,2646,LateralMovement
670,6475,910,LateralMovement
671,9075,2546,Source
672,8736,4855,LateralMovement
673,7382,5337,Source
674,6334,7090,Target
675,4457,1721,Unknown
676,6916,6772,Unknown
677,3724,302,Unknown
678,5734,1380,Unknown
679,5860,2905,Source
680,9484,7339,Source
681,868,3809,LateralMovement
682,7437,1951,LateralMovement
683,6588,2141,Target
684,276,3014,Source
685,206,767,Target
686,2265,2733,Source
687,2442,3044,LateralMovement
688,681,5886,Source
689,8734,427,Unknown
690,2679,6980,Source
691,3472,2640,Unknown
692,1554,1516,LateralMovement
693,889,1464,Unknown
694,8991,2414,Unknown
695,6138,3534,Source
696,9316,2046,Source
697,6995,3859,Target
698,3632,3819,Source
699,5390,6170,Source
700,3767,1665,LateralMovement
701,200,931,Target
702,6531,5717,Target
703,503,333,LateralMovement
704,2027,4197,Source
705,7838,1130,Target
706,9795,6464,Unknown
707,5307,4669,Target
708,2673,7082,Unknown
709,2454,3258,Target
710,1115,6310,Unknown
711,9219,1008,Target
712,8327,1026,Target
713,3162,5666,Unknown
714,4026,1473,Target
715,6049,2383,LateralMovement
716,9368,5812,LateralMovement
717,7197,6234,LateralMovement
718,116,5908,Source
719,3751,1282,Source
720,2687,3644,LateralMovement
721,8017,1034,LateralMovement
722,2980,7166,Target
723,1937,6952,Source
724,873,303,Source
725,3652,6602,Source
726,5072,2975,LateralMovement
727,3697,6701,LateralMovement
728,6894,3414,Unknown
729,8763,3928,LateralMovement
730,9078,2570,Source
731,2914,4117,Unknown
732,7921,7428,Target
733,5118,2369,LateralMovement
734,9903,4109,Target
735,534,3788,Unknown
736,1250,5469,Target
737,5267,4977,Unknown
738,5419,1421,Source
739,8281,5224,Source
740,5178,5183,LateralMovement
741,9218,5802,Target
742,3526,7431,Unknown
743,5693,1870,Source
744,5633,943,Source
745,6340,2630,Target
746,2413,382,LateralMovement
747,2814,2127,Target
748,5775,2067,Source
749,1372,3186,Unknown
750,2948,44,Unknown
751,4675,5274,Target
752,3506,7303,Source
753,7857,1006,LateralMovement
754,1973,6298,Unknown
755,7727,4759,Source
756,2861,7363,Source
757,668,3230,Target
758,3175,5885,Source
759,8060,131,Source
760,5653,6282,LateralMovement
761,1124,5823,Target
762,9758,4092,Target
763,428,6097,Target
764,2706,7241,Unknown
765,5330,1348,Target
766,6737,5746,Source
767,1504,2097,Unknown
768,9896,4643,Target
769,1601,1618,Source
770,3359,3432,LateralMovement
771,858,748,Unknown
772,796,3077,Target
773,9735,2106,Unknown
774,1360,3334,Unknown
775,3733,6283,Source
776,1068,2176,Unknown
777,7913,1507,LateralMovement
778,9183,6084,Source
779,8262,6348,Unknown
780,8617,142,LateralMovement
781,7281,6640,Target
782,8701,2637,LateralMovement
783,3129,3068,LateralMovement
784,7138,6192,Source
785,3828,878,Target
786,460,6259,LateralMovement
787,3843,3785,Unknown
788,9650,6148,Source
789,9861,2668,Unknown
790,8523,3378,Target
791,9855,1554,Unknown
792,7322,3762,Target
793,6769,6648,LateralMovement
794,3413,2045,LateralMovement
795,336,7274,Source
796,5368,2538,Target
797,7583,5170,LateralMovement
798,4683,5462,Unknown
799,4814,5820,Target
800,2488,5739,Source
801,448,2587,Target
802,7018,6712,Source
803,3230,5135,Target
804,7698,3956,LateralMovement
805,4290,6062,Source
806,1225,5596,LateralMovement
807,4566,6123,Unknown
808,298,1952,Target
809,7319,7216,LateralMovement
810,7597,6607,Source
811,343,5656,Source
812,2230,965,Source
813,7322,1498,Target
814,8095,2576,Unknown
815,15,3780,Source
816,3003,5413,Unknown
817,5899,413,Unknown
818,2093,1748,LateralMovement
819,4191,968,Source
820,6579,5455,Unknown
821,6655,2936,Unknown
822,1170,1863,Source
823,2473,2517,Target
824,4043,6497,Target
825,3481,5402,LateralMovement
826,6792,4109,Source
827,3118,4705,Unknown
828,2338,4895,LateralMovement
829,5905,64,Target
830,8565,6899,Source
831,2027,1324,Unknown
832,4844,7364,Unknown
833,3905,7091,Target
834,3178,2779,Target
835,7357,445,Source
836,3885,5283,LateralMovement
837,126,4083,Target
838,7009,2301,Unknown
839,4285,7022,Source
840,277,6988,Unknown
841,8901,4801,Unknown
842,5850,819,Target
843,7703,3981,LateralMovement
844,8466,6599,Unknown
845,275,5309,Source
846,591,6531,Target
847,9867,6131,Target
848,7976,2178,Target
849,7362,195,LateralMovement
850,7579,43,LateralMovement
851,4390,4568,Source
852,8659,2338,Source
853,4603,1171,LateralMovement
854,5069,70,LateralMovement
855,3789,6168,LateralMovement
856,6381,4567,Unknown
857,4691,6019,Source
858,8856,5425,LateralMovement
859,412,1464,Source
860,4897,885,Source
861,2679,1461,LateralMovement
862,7789,4493,Source
863,6960,4580,Unknown
864,2867,685,LateralMovement
865,5400,6084,Unknown
866,7771,3937,Source
867,5943,7148,Source
868,8140,6011,Unknown
869,9159,2447,LateralMovement
870,490,2757,LateralMovement
871,5207,2795,LateralMovement
872,3248,2080,LateralMovement
873,5115,6318,Unknown
874,2286,3988,Unknown
875,1032,5881,Unknown
876,270,3052,LateralMovement
877,2046,4255,Unknown
878,5296,7358,Source
879,940,7107,Unknown
880,7147,82,Target
881,5978,6974,Source
882,7313,2331,LateralMovement
883,5556,2337,Target
884,5766,6878,Source
885,8620,6177,Unknown
886,1016,2853,Target
887,8505,3226,Unknown
888,5670,5446,Unknown
889,9948,5800,Target
890,4158,5043,Target
891,5222,1977,Unknown
892,7102,945,Target
893,6276,3400,Target
894,5481,2338,Source
895,9706,3899,Unknown
896,5492,1714,Unknown
897,1235,2282,Source
898,537,2021,Target
899,5072,1392,Target
900,6632,2266,Target
901,2314,2008,Target
902,6619,6797,Unknown
903,7634,2316,LateralMovement
904,3632,3388,Unknown
905,314,7086,Source
906,9472,4124,Target
907,3603,3916,Unknown
908,1865,1567,Unknown
909,4104,1968,Unknown
910,1056,5910,Target
911,1876,6239,LateralMovement
912,7409,1649,LateralMovement
913,2404,5437,Target
914,7179,657,Source
915,4135,2483,LateralMovement
916,6200,1980,Source
917,7980,1037,Unknown
918,2545,1164,LateralMovement
919,895,7409,Source
920,5916,7351,Target
921,8061,4103,LateralMovement
922,7608,4066,Source
923,5631,4347,Source
924,8379,2031,LateralMovement
925,3626,3491,Source
926,2706,5388,Target
927,470,3106,Source
928,2939,6741,Source
929,9487,973,Unknown
930,7263,7467,Unknown
931,4360,5726,LateralMovement
932,8970,2039,Unknown
933,937,2984,Unknown
934,3663,741,Unknown
935,3510,4260,Target
936,2412,5759,Unknown
937,6245,2170,Target
938,9935,988,Unknown
939,3835,7472,Source
940,1156,2186,Unknown
941,7477,3935,Target
942,8500,1600,Target
943,3434,5158,Unknown
944,3728,4033,LateralMovement
945,6547,4658,LateralMovement
946,3753,4529,Unknown
947,5154,5975,Target
948,6077,23,Source
949,7720,1606,LateralMovement
950,4495,6279,Target
951,5524,5960,Target
952,5728,3075,Source
953,4423,2678,Target
954,9602,5588,LateralMovement
955,7194,6285,Source
956,5558,912,LateralMovement
957,750,797,LateralMovement
958,6017,4100,LateralMovement
959,7256,6715,LateralMovement
960,3681,2704,Unknown
961,4035,2427,LateralMovement
962,1898,201,Unknown
963,4302,1172,Target
964,5640,5140,Unknown
965,6430,5671,LateralMovement
966,8949,6398,Unknown
967,7565,2529,LateralMovement
968,2749,6414,Unknown
969,85,1540,Target
970,7344,7185,LateralMovement
971,978,2186,Target
972,5978,2526,Source
973,69,4010,Unknown
974,8121,7491,Source
975,2470,480,LateralMovement
976,6696,4370,Target
977,4276,6743,LateralMovement
978,4543,6372,Unknown
979,1111,1240,Source
980,4437,5644,Source
981,4981,2343,LateralMovement
982,280,5039,LateralMovement
983,56,6862,Unknown
984,5869,3457,LateralMovement
985,6013,6248,Unknown
986,3635,4459,LateralMovement
987,8070,7344,Unknown
988,5094,5070,Target
989,5147,3532,Unknown
990,1413,3662,Target
991,1802,7186,Unknown
992,3713,5054,Source
993,2044,5692,Source
994,9207,93,Target
995,9163,858,Unknown
996,8360,3111,LateralMovement
997,5424,643,Source
998,5401,4774,Unknown
999,5300,2881,LateralMovement
1000,4267,5486,Unknown
1001,8142,606,LateralMovement
1002,9707,2243,Source
1003,9387,2064,Target
1004,3800,1465,LateralMovement
1005,7788,4511,Unknown
1006,5429,3367,LateralMovement
1007,9848,1917,Unknown
1008,6636,605,Source
1009,7568,2897,Source
1010,7976,4247,Source
1011,6507,4231,Target
1012,9779,6117,Target
1013,6537,409,Unknown
1014,1818,2249,Target
1015,2270,3283,Source
1016,6340,6494,Unknown
1017,7828,6094,Source
1018,1665,2221,Target
1019,9012,928,Unknown
1020,7834,3647,Unknown
1021,5609,5181,LateralMovement
1022,8026,6267,Source
1023,4591,2863,Source
1024,6356,6150,Source
1025,8924,4063,LateralMovement
1026,4732,2411,Unknown
1027,6861,976,Source
1028,7643,5824,Target
1029,809,1236,Unknown
1030,1369,5330,LateralMovement
1031,9776,3114,Target
1032,3860,3895,Unknown
1033,8166,1726,Unknown
1034,8991,7224,Target
1035,318,3370,LateralMovement
1036,2495,6300,LateralMovement
1037,3451,2077,Source
1038,3099,898,Source
1039,348,4324,Unknown
1040,3165,6451,LateralMovement
1041,7560,2612,Source
1042,6449,916,Unknown
1043,3721,5501,Target
1044,5214,6288,Target
1045,3497,3263,Source
1046,980,2033,LateralMovement
1047,9616,4943,LateralMovement
1048,7050,209,Source
1049,3210,3471,Source
1050,519,6469,LateralMovement
1051,6952,4484,LateralMovement
1052,4604,5440,LateralMovement
1053,2086,7421,LateralMovement
1054,776,6221,Unknown
1055,1019,5515,Target
1056,170,6096,LateralMovement
1057,6751,1681,Source
1058,1579,623,Source
1059,2067,3360,Unknown
1060,2882,939,Unknown
1061,3901,2734,LateralMovement
1062,857,4745,Unknown
1063,2700,963,Target
1064,6609,1978,Unknown
1065,6363,127,Target
1066,8358,7154,Unknown
1067,4920,1180,LateralMovement
1068,7536,7229,LateralMovement
1069,2310,565,Source
1070,8723,299,Unknown
1071,8475,6054,Target
1072,5221,1008,Unknown
1073,5458,5078,Target
1074,3,2061,Target
1075,5180,3286,LateralMovement
1076,4898,2513,LateralMovement
1077,6049,5915,Target
1078,262,650,Source
1079,771,2741,Target
1080,7426,521,LateralMovement
1081,9443,7184,LateralMovement
1082,2100,2557,Target
1083,422,4711,Target
1084,4052,3929,LateralMovement
1085,6792,6760,Unknown
1086,6805,5993,Source
1087,1707,1831,Unknown
1088,741,6244,Target
1089,4554,5246,LateralMovement
1090,5215,7408,Unknown
1091,1731,2793,Source
1092,4830,3924,LateralMovement
1093,8356,1715,Target
1094,4335,7316,Unknown
1095,1894,11,Target
1096,2274,4444,Target
1097,6038,7061,Unknown
1098,881,6003,Unknown
1099,5778,5542,Source
1100,7645,1505,Target
1101,9288,1564,Unknown
1102,4035,3876,Target
1103,9672,6789,LateralMovement
1104,6655,405,Source
1105,6894,1218,Target
1106,7014,720,LateralMovement
1107,321,5783,Unknown
1108,737,4619,Unknown
1109,3709,3221,Source
1110,2542,90,Target
1111,2641,6050,Target
1112,7815,2368,Unknown
1113,3075,1538,Unknown
1114,4803,4366,Source
1115,383,6392,Target
1116,5333,928,Target
1117,7852,7433,LateralMovement
1118,4175,3737,LateralMovement
1119,1852,6344,Source
1120,9030,3243,LateralMovement
1121,2560,1112,Source
1122,2969,570,Unknown
